component,variable,marginal_cost,nominal,handle_separately
Generator,p,True,False,False
Generator,status,False,False,True
Generator,p_nom,False,True,False
Line,s,False,False,False
Line,s_nom,False,True,False
Transformer,s,False,False,False
Transformer,s_nom,False,True,False
Link,p,True,False,False
Link,p_nom,False,True,False
Store,e,False,False,False
Store,p,True,False,True
Store,e_nom,False,True,False
StorageUnit,p_dispatch,True,False,False
StorageUnit,p_store,False,False,False
StorageUnit,state_of_charge,False,False,False
StorageUnit,p_nom,False,True,False
StorageUnit,spill,False,False,True

